PC1 = [-0.73846793 -0.6742886 ]
PC2 = [ 0.6742886  -0.73846793]

Projected Data:-
             0         1
291  -5.187012 -0.620787
292  -7.306148 -0.558518
293  -8.539623 -0.956288
294  -7.552924 -0.309988
295  -7.474921 -0.447689
296  -8.531204 -0.289278
297  -7.996752 -0.548340
298  -7.072185 -0.452948
299  -6.907523  0.070987
300  -6.673264 -0.422429
301  -8.432571 -0.361207
302  -5.380596 -0.350701
303  -8.470633 -0.331730
304  -8.266039 -0.469103
305  -6.743066 -0.439974
306  -9.469793 -0.314044
307  -6.236385 -0.666913
308  -7.474605 -0.464789
309  -8.127956 -0.196326
310  -7.421407 -0.321296
311  -6.892056 -0.441800
312  -6.690639 -1.213233
313  -7.898484 -0.118379
314  -7.256336  0.237828
315  -5.970495 -0.036096
316  -8.418554 -0.344798
317  -8.087543 -0.346529
318  -7.989666 -0.376343
319  -7.315723 -0.232896
320  -7.152679 -0.193832
321  -8.260517 -0.509319
322  -6.328507  0.437538
323  -5.302943 -0.315531
324  -6.989076 -0.796133
325  -5.865138  0.115728
326  -7.625668 -0.034044
327  -8.046650 -0.347460
328  -6.305132 -0.387532
329  -6.990965 -0.878992
330  -7.997560 -0.056219
331 -10.555251 -0.802654
332  -6.610195 -0.160456
333  -9.470040 -0.132961
334  -6.477272 -0.035341
335  -7.970734 -0.675233
336  -8.637769 -0.542375
337  -8.280399 -0.706992
338  -8.146924  0.615216
339  -6.713583 -0.173221
340  -5.907463 -0.012515
341  -7.886044  0.010458
342  -7.439344 -0.009968
343  -4.345608 -0.335343
344  -6.153787 -0.129642
345  -5.511237  0.122899
346  -7.996767 -0.556997
347  -5.556394 -0.078532
348  -7.330619 -0.220221
349  -6.007265  0.484609
350  -6.882447 -0.371780
351  -9.607683  0.465845
352  -9.095042 -0.439437
353  -6.270916 -0.400154
354  -6.379735 -0.422149
355  -6.204361  0.420932
356  -8.563895 -0.772110
357  -5.382713 -0.037141
358  -7.519795 -0.342014
359  -6.926995 -0.457935
360  -8.266952 -0.487233
361  -8.107629 -0.424409
362  -7.201374 -0.039538
363  -5.592709 -0.036209
364  -5.410627 -0.113931
365  -5.090689 -0.031297
366  -7.217997  0.055401
367  -6.992433  0.006029
368  -7.270877 -0.529327
369  -5.461135  0.077654
370  -7.493201 -0.816230
371  -7.786867 -0.768426
372  -5.307191  0.425733
373  -8.020729 -0.265166
374  -7.842461  0.245756
375  -9.693890 -0.462127
376  -4.022528  0.159992
377  -7.120301 -0.449038
378  -8.876227 -0.119864
379  -7.664211 -0.138733
380  -6.287326 -0.184568
381  -7.236652 -0.290537
382  -5.741670 -0.970628
383  -5.947755  0.030945
384  -5.891708 -0.303019
385  -6.434004 -0.199742
386  -5.496507 -0.453994
387  -8.669113 -0.561611
388  -6.886890 -0.379774
389  -7.836877 -0.886505
390  -8.376169 -0.622855
391  -6.382258 -0.255276
392  -6.690949  0.215825
393  -6.860628  0.014255
394  -6.064727  0.451710
395  -6.262778 -0.442002
396  -6.433399 -0.335731
397  -6.629945 -1.175141
398  -7.057330 -0.135420
399  -6.974758 -1.489200
400  -6.220923 -0.557332
401  -8.817811 -0.532878
402  -6.489514  0.031819
403  -7.033212 -0.829465
404  -7.550535 -0.123357
405  -7.063108 -0.045090
406  -6.765485  0.382723
407  -6.256281 -0.196512
408  -5.212817 -0.354438
409  -8.508449 -0.394382
410  -7.348572 -0.399889
411  -6.488719 -0.145214
412  -6.481048  0.185759
413  -7.567590 -0.255795
414  -6.997898 -0.736186
415  -6.809609 -0.012254
416  -6.726122  0.102452
417  -6.888237 -0.665347
418  -9.754534 -0.921831
419  -7.715086 -0.847095
420  -5.354916 -0.111162
421  -7.073125 -0.651059
422  -6.988445 -0.743940
423  -7.838713 -0.982735
424  -9.189889 -0.861004
425  -5.612411 -0.636100
426  -6.591921 -0.386018
427  -6.627282  0.074578
428  -7.805001 -0.275250
429  -8.178166  0.118293
430  -6.578921  0.195961
431  -7.486992 -0.276426
432  -6.337796  0.442013
433  -6.785066 -0.189188
434  -6.642901  0.142669
435 -11.641555 -0.779662
436  -6.940853  0.615122
437  -7.633445 -0.759627
438  -6.258487 -0.123200
439  -6.423458  0.137686
440  -5.545180  0.356740
441  -7.250016 -0.445942
442  -8.175578 -0.618741
443  -7.919349 -0.478036
444  -8.033774 -0.156189
445  -6.983295 -0.885004
446  -7.316581 -0.399465
447  -4.835932 -0.518200
448 -10.301432 -0.337273
449  -6.898043 -0.779425
450  -6.941902  0.129218
451  -7.600719 -0.230928
452  -7.280771 -0.032170
453  -7.064575 -0.501713
454  -3.994096  0.155444
455  -6.140747 -0.476571
456  -8.960360 -0.673431
457 -10.874445 -0.697561
458  -7.262651 -0.163890
459  -3.778004  0.246781
460  -5.904182 -0.953605
461  -8.025784 -0.657131
462  -6.758549 -0.069930
463  -7.870138 -0.318419
464  -4.154663 -0.099397
465  -8.930515 -0.610980
466  -6.543235 -0.192727
467  -6.668699  0.133219
468  -7.007274  0.049764
469  -7.231016 -1.287663
470  -9.011545 -0.771120
471  -7.168768 -0.278300
472  -5.673641 -0.069179
